,弹幕,类别
0,你代言都和他接同一家？？？？,愤怒
1,《我   很   内   向》,难过
2,不管是不是笋 秀芬看到即爽到,高兴
3,你好爱他,高兴
4,你好爱他,高兴
5,西蒙他老婆的战歌,高兴
6,哈哈哈哈哈,高兴
7,哈哈哈哈,高兴
8,哈哈哈哈哈哈哈,高兴
9,哈哈哈哈哈哈,高兴
10,谢谢,高兴
11,激动，我第一次在b站领奖,高兴
12,哈哈哈哈哈,高兴
13,？咱们我深又被放出来了（多放点我深的帅照吧，孩子太傻我带走了）,愤怒
14,弹幕护体,惊讶
15,天呢！！！我深！！！！！！！！,难过
16,你好爱他,高兴
17,你好爱他,高兴
18,你好爱他,高兴
19,哈哈哈哈哈哈哈哈哈哈笑死,高兴
20,你好爱他,高兴
21,你好爱他,高兴
22,你好爱他,高兴
23,你真的真的好爱他,高兴
24,你好爱他,高兴
25,giegie,高兴
26,你真的好爱他,高兴
27,你真的好爱他。,高兴
28,你好爱他,高兴
29,你好爱他,高兴
30,你好爱他,高兴
31,你好爱他,高兴
32,你好爱他,高兴
33,哈哈哈哈哈哈哈哈哈,高兴
34,你好爱他,高兴
35,哈哈哈哈哈哈哈哈,高兴
36,你好爱他,高兴
37,深深,难过
38,深深?,高兴
39,哈哈哈哈哈哈哈哈哈,高兴
40,我深深,难过
41,现在是让他去高级竞技场受死,愤怒
42,深深二杀！,高兴
43,深深闪现！！,高兴
44,强行升华，感动哭了,高兴
45,你好爱他,高兴
46,你好爱他,高兴
47,我得奖了？！,高兴
48,你好爱他,高兴
49,233333,高兴
50,缺德,愤怒
51,你好爱他哈哈哈哈哈啊哈哈哈哈,高兴
52,不看选秀唯一有好感的就是他了,高兴
53,这就是爱吗,高兴
54,你好爱他,高兴
55,叠词词，恶心心~,难过
56,你好爱他,高兴
57,你好爱他,高兴
58,你好爱他,高兴
59,你好爱他,高兴
60,你好爱他,高兴
61,你好爱他,高兴
62,你还爱他,愤怒
63,他真的好好看,高兴
64,猝不及防,惊讶
65,哈哈哈哈哈哈哈哈,高兴
66,哈哈哈哈哈哈哈哈,高兴
67,哈哈哈哈哈哈哈哈哈哈哈,高兴
68,哈哈哈哈哈哈哈哈哈哈哈哈,高兴
69,哈哈哈哈哈哈哈哈,高兴
70,你好爱他,高兴
71,哈哈哈哈哈哈哈,高兴
72,谢谢谢谢,高兴
73,我获奖了！！,高兴
74,你好爱他,高兴
75,哈哈哈哈哈哈哈哈哈哈哈哈,高兴
76,你好爱他,高兴
77,你好爱他,高兴
78,你好爱他,高兴
79,hhhh缺德,高兴
80,你好爱他,高兴
81,夺笋哈哈哈哈哈,高兴
82,哈哈哈哈嗝,高兴
83,哈哈哈哈哈嗝,高兴
84,笋丝人均蝴蝶蓝（超有分寸感,高兴
85,你好爱他,高兴
86,你好爱他,高兴
87,你好爱他,高兴
88,还有一个别的牌子的乳酸菌糖,高兴
89,真，公费蹦迪,高兴
90,果然一当普通人他就起来了,高兴
91,路人粉绝了真的，真路人粉,高兴
92,怕被打可能，因为人家都是爱的支持，笋丝emmm,愤怒
93,一股清流,高兴
94,怎么可以从偶像到粉丝都这么搞笑,高兴
95,烽火戏诸侯,高兴
96,而且从不撕逼的粉丝圈，从没见过的团结一致,高兴
97,截屏看,高兴
98,你怎么还有歌词弹幕，别的bgm咋没见这个操作,愤怒
99,这时只要微笑就可以了,高兴
100,你好爱他,高兴
101,专属笋圈,高兴
102,现在真的是干啥都能看到利路修，但他越认真营业我越想笑哈哈哈,高兴
103,你怎么这么爱他，虽然我想看,愤怒
104,恶心心,难过
105,你好爱他,高兴
106,你好爱他,高兴
107,为了利老师 ,高兴
108,泪目,难过
109,啊啊啊啊啊,愤怒
110,鲁路修！！！,高兴
111,你好爱他,高兴
112,你好爱他,高兴
113,你好爱他,高兴
114,哈哈哈哈哈哈哈哈哈哈哈哈哈,高兴
115,yes,高兴
116,哈哈哈哈哈哈哈哈哈哈哈,高兴
117,感谢,高兴
118,哈哈哈,高兴
119,这个小黄人在淘宝代购页面已经改名利路修了,愤怒
120,如果你的标题不是利路修我以为你在说我家,愤怒
121,利老师可是连成团舞都没学，而且第一次彩排摇号摇到了c位,高兴
122,你很爱他,高兴
123,哈哈哈哈哈哈哈哈哈、、,高兴
124,你好爱他,高兴
125,叠词词，恶心心,难过
126,你好爱他,高兴
127,笑死我了，好整齐,高兴
128,你好爱他！！,高兴
129,你好爱他,高兴
130,你真的好爱他,高兴
131,周深,高兴
132,你好爱他,高兴
133,你好爱他,高兴
134,你好爱他,高兴
135,你好爱他,高兴
136,你好爱他,高兴
137,你好爱他,高兴
138,你好爱他,高兴
139,别骂了别骂了,愤怒
140,你好爱他，这就是爱情吗,高兴
141,你真的好爱他,高兴
142,叠词词，恶心心,难过
143,你好爱他,高兴
144,你好爱他,高兴
145,你好爱他,高兴
146,首先要感谢鹿人给我这个机会,高兴
147,妈妈，我获奖了！！！,高兴
148,买了,高兴
149,你好爱他！,高兴
150,自由人自由魂,难过
151,进度条不对劲,难过
152,你好爱他,高兴
153,你好爱他,高兴
154,叠词词，恶心心,难过
155,你好爱他,高兴
156,你好爱他,高兴
157,你好爱他,高兴
158,你好爱他,高兴
159,你好爱他,高兴
160,你好爱他,高兴
161,我是二传哈哈哈哈哈,高兴
162,瑞幸打钱,愤怒
163,？？？,惊讶
164,惊现深深,惊讶
165,叠词词，恶熏熏,愤怒
166,哈哈哈哈哈哈哈哈,高兴
167,你好爱他,高兴
168,你好爱他,高兴
169,你怎么生气的 我真的读秒了,愤怒
170,你怎么生气的 我很多,愤怒
171,你好爱他,高兴
172,老师的关爱笑死我了哈哈哈哈哈哈哈哈哈,高兴
173,你好爱他,高兴
174,你好爱他,高兴
